file,file_size_bytes,is_binary,encoding,encoding_confidence,line_ending,line_count,extension,mime_type,has_bom,last_modified
Open3D/cpp/open3d/visualization/CMakeLists.txt,6264,False,ascii,1.0,LF,181,.txt,text/plain,False,2026-06-12T15:44:00.475453+00:00
Open3D/cpp/open3d/visualization/app/Viewer.cpp,1834,False,ascii,1.0,LF,58,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/app/Viewer.h,1142,False,ascii,1.0,LF,26,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Application.cpp,35026,False,utf-8,0.8001,LF,910,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Application.h,8293,False,ascii,1.0,LF,210,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/BitmapWindowSystem.cpp,10619,False,ascii,1.0,LF,312,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/BitmapWindowSystem.h,3263,False,ascii,1.0,LF,105,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Button.cpp,6250,False,ascii,1.0,LF,177,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Button.h,2111,False,ascii,1.0,LF,63,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/CMakeLists.txt,3579,False,ascii,1.0,LF,138,.txt,text/plain,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Checkbox.cpp,3451,False,ascii,1.0,LF,105,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Checkbox.h,1224,False,ascii,1.0,LF,42,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Color.cpp,2340,False,ascii,1.0,LF,69,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Color.h,1303,False,ascii,1.0,LF,48,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/ColorEdit.cpp,2471,False,ascii,1.0,LF,83,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/ColorEdit.h,1276,False,ascii,1.0,LF,44,.h,text/x-chdr,False,2026-06-12T15:44:00.479608+00:00
Open3D/cpp/open3d/visualization/gui/Combobox.cpp,5873,False,ascii,1.0,LF,196,.cpp,text/x-c++src,False,2026-06-12T15:44:00.479608+00:00
