language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.06  T=0.81 s (2626.9 files/s 634916.5 lines/s)"
C/C++ Header,Open3D/cpp/open3d/utility/Optional.h,172,84,686
C++,Open3D/cpp/open3d/visualization/rendering/filament/TriangleMeshBuffers.cpp,110,50,673
CUDA,Open3D/cpp/open3d/ml/impl/misc/Voxelize.cuh,97,195,669
C++,Open3D/cpp/pybind/visualization/rendering/rendering.cpp,31,25,669
C++,Open3D/cpp/open3d/geometry/PointCloudPlanarPatchDetection.cpp,121,233,668
C++,Open3D/cpp/open3d/visualization/visualizer/VisualizerWithEditing.cpp,25,13,660
C++,Open3D/cpp/tests/geometry/Line3D.cpp,88,86,648
C++,Open3D/cpp/open3d/geometry/SurfaceReconstructionBallPivoting.cpp,87,10,647
C++,Open3D/cpp/open3d/geometry/SurfaceReconstructionPoisson.cpp,73,38,647
C++,Open3D/cpp/pybind/pipelines/registration/registration.cpp,38,26,641
C++,Open3D/cpp/pybind/t/geometry/pointcloud.cpp,118,20,633
C,Open3D/3rdparty/glfw/src/egl_context.c,104,55,627
C++,Open3D/cpp/open3d/visualization/webrtc_server/PeerConnectionManager.cpp,78,57,614
C/C++ Header,Open3D/examples/cpp/OnlineSLAMUtil.h,92,46,614
Python,Open3D/python/open3d/visualization/tensorboard_plugin/util.py,90,150,606
Python,Open3D/examples/python/visualization/vis_gui.py,96,83,596
JavaScript,Open3D/cpp/open3d/visualization/webrtc_server/html/webrtcstreamer.js,54,119,593
C,Open3D/3rdparty/glfw/src/win32_joystick.c,98,66,587
C++,Open3D/cpp/open3d/pipelines/registration/GlobalOptimization.cpp,68,51,584
C++,Open3D/cpp/open3d/t/io/NumpyIO.cpp,108,101,580
C/C++ Header,Open3D/3rdparty/glfw/src/internal.h,94,105,572
C/C++ Header,Open3D/cpp/open3d/data/Dataset.h,155,542,572
C/C++ Header,Open3D/3rdparty/glfw/include/GLFW/glfw3.h,241,4712,569
C/C++ Header,Open3D/cpp/open3d/core/Tensor.h,204,657,568
C++,Open3D/cpp/open3d/t/pipelines/kernel/RegistrationCPU.cpp,70,39,564
C,Open3D/3rdparty/glfw/src/wgl_context.c,105,60,563
C++,Open3D/cpp/open3d/visualization/gui/Layout.cpp,98,23,552
C++,Open3D/cpp/open3d/utility/FileSystem.cpp,67,26,550
Python,Open3D/docs/make_docs.py,94,76,545
C,Open3D/3rdparty/glfw/src/context.c,117,97,544
C++,Open3D/cpp/tests/core/ParallelFor.cpp,77,6,542
C++,Open3D/cpp/open3d/core/Indexer.cpp,79,56,541
C++,Open3D/cpp/benchmarks/t/geometry/PointCloud.cpp,95,29,536
C++,Open3D/cpp/open3d/visualization/gui/Application.cpp,90,103,535
Bourne Shell,Open3D/docker/docker_build.sh,60,44,534
C,Open3D/3rdparty/glfw/src/glx_context.c,107,61,530
Python,Open3D/python/test/ml_ops/cconv_python.py,173,174,528
C/C++ Header,Open3D/3rdparty/dirent/dirent/dirent.h,173,218,526
C/C++ Header,Open3D/cpp/open3d/core/linalg/LapackWrapper.h,45,6,511
C++,Open3D/cpp/open3d/io/file_format/FileGLTF.cpp,55,30,510
C/C++ Header,Open3D/cpp/open3d/core/hashmap/CUDA/SlabHashBackendImpl.h,122,94,509
CUDA,Open3D/cpp/open3d/ml/impl/continuous_conv/ContinuousConvCUDAKernels.cu,62,9,506
C++,Open3D/cpp/open3d/visualization/rendering/filament/LineSetBuffers.cpp,89,62,499
C/C++ Header,Open3D/3rdparty/glfw/deps/linmath.h,63,15,496
C++,Open3D/cpp/open3d/t/geometry/VoxelBlockGrid.cpp,92,34,486
C++,Open3D/cpp/open3d/t/geometry/BoundingVolume.cpp,82,15,484
C++,Open3D/cpp/open3d/pipelines/odometry/Odometry.cpp,45,10,483
C++,Open3D/cpp/open3d/visualization/visualizer/Visualizer.cpp,60,20,480
C++,Open3D/cpp/pybind/io/class_io.cpp,36,20,479
C++,Open3D/cpp/open3d/t/geometry/Image.cpp,61,17,478
Python,Open3D/python/open3d/visualization/tensorboard_plugin/summary.py,76,240,478
Python,Open3D/python/test/t/geometry/test_trianglemesh.py,136,48,478
C++,Open3D/cpp/open3d/visualization/gui/PickPointsInteractor.cpp,50,59,477
C/C++ Header,Open3D/cpp/open3d/ml/ShapeChecking.h,75,127,473
C,Open3D/3rdparty/glfw/deps/tinycthread.c,67,55,472
C++,Open3D/cpp/open3d/geometry/TriangleMeshSimplification.cpp,61,39,463
C++,Open3D/cpp/open3d/pipelines/integration/UniformTSDFVolume.cpp,29,20,458
C++,Open3D/cpp/open3d/t/geometry/VtkUtils.cpp,63,71,456
C++,Open3D/cpp/open3d/geometry/EstimateNormals.cpp,60,37,451
C++,Open3D/examples/cpp/TICPSequential.cpp,108,164,451
C++,Open3D/cpp/tests/core/HashMap.cpp,109,30,448
C/C++ Header,Open3D/cpp/open3d/t/geometry/kernel/GeometryMacros.h,21,13,444
C/C++ Header,Open3D/cpp/open3d/t/pipelines/kernel/RegistrationImpl.h,69,16,442
C,Open3D/3rdparty/glfw/src/win32_init.c,87,66,434
C/C++ Header,Open3D/cpp/open3d/core/nns/NanoFlannImpl.h,77,190,431
C++,Open3D/cpp/open3d/t/pipelines/odometry/RGBDOdometry.cpp,68,19,430
C++,Open3D/cpp/open3d/visualization/gui/GLFWWindowSystem.cpp,72,52,427
C++,Open3D/cpp/benchmarks/core/HashMap.cpp,95,10,426
C++,Open3D/cpp/pybind/t/pipelines/registration/registration.cpp,19,18,423
Python,Open3D/python/open3d/ml/tf/python/layers/convolutions.py,180,213,423
C/C++ Header,Open3D/cpp/open3d/ml/impl/misc/VoxelPooling.h,69,76,421
C/C++ Header,Open3D/3rdparty/glfw/src/mappings.h,4,58,416
C++,Open3D/cpp/open3d/pipelines/integration/ScalableTSDFVolume.cpp,17,9,416
C++,Open3D/cpp/tests/core/Linalg.cpp,96,53,416
C++,Open3D/cpp/pybind/visualization/o3dvisualizer.cpp,12,14,415
Python,Open3D/python/open3d/visualization/tensorboard_plugin/plugin.py,78,299,415
Markdown,Open3D/3rdparty/glfw/README.md,51,0,412
C++,Open3D/cpp/open3d/visualization/visualizer/VisualizerRender.cpp,52,55,407
C++,Open3D/cpp/open3d/t/geometry/kernel/NPPImage.cpp,43,38,405
C++,Open3D/cpp/open3d/visualization/webrtc_server/WebRTCWindowSystem.cpp,50,47,404
C++,Open3D/cpp/pybind/geometry/pointcloud.cpp,11,6,402
Python,Open3D/python/test/visualization/test_tensorboard_plugin.py,39,25,402
C++,Open3D/cpp/open3d/visualization/rendering/filament/PointCloudBuffers.cpp,52,44,399
C++,Open3D/cpp/open3d/visualization/visualizer/GuiSettingsView.cpp,47,24,399
CMake,Open3D/CMakeLists.txt,56,101,398
C++,Open3D/cpp/open3d/t/io/file_format/FileASSIMP.cpp,38,41,397
Python,Open3D/python/test/core/test_linalg.py,74,35,397
CUDA,Open3D/cpp/open3d/t/pipelines/kernel/RegistrationCUDA.cu,60,23,394
YAML,Open3D/.github/workflows/windows.yml,38,17,393
C++,Open3D/cpp/tests/core/MemoryManager.cpp,142,8,393
Bourne Shell,Open3D/util/ci_utils.sh,27,38,393
C/C++ Header,Open3D/cpp/open3d/t/pipelines/kernel/FillInLinearSystemImpl.h,60,30,387
Python,Open3D/python/test/ml_ops/test_sparseconv.py,91,40,386
C++,Open3D/cpp/tests/io/PointCloudIO.cpp,53,45,385
C++,Open3D/cpp/open3d/visualization/gui/ImguiFilamentBridge.cpp,63,54,382
C++,Open3D/cpp/open3d/visualization/rendering/Open3DScene.cpp,62,36,382
C/C++ Header,Open3D/cpp/open3d/core/Indexer.h,84,199,380
CUDA,Open3D/cpp/open3d/t/pipelines/kernel/RGBDOdometryCUDA.cu,61,11,378
C++,Open3D/cpp/tests/t/pipelines/registration/Registration.cpp,75,69,378
C++,Open3D/cpp/open3d/io/rpc/RemoteFunctions.cpp,45,10,377
C++,Open3D/cpp/open3d/visualization/shader/GeometryRenderer.cpp,48,8,377
Python,Open3D/python/open3d/ml/torch/python/layers/convolutions.py,164,199,377
C++,Open3D/cpp/pybind/t/geometry/boundingvolume.cpp,24,8,376
C++,Open3D/cpp/open3d/t/pipelines/registration/Registration.cpp,57,37,375
C++,Open3D/cpp/open3d/utility/Eigen.cpp,34,15,375
Python,Open3D/examples/python/visualization/online_processing.py,69,93,374
C++,Open3D/cpp/open3d/visualization/gui/TreeView.cpp,70,61,373
C,Open3D/3rdparty/glfw/src/win32_monitor.c,90,51,372
C++,Open3D/cpp/tests/geometry/HalfEdgeTriangleMesh.cpp,47,70,372
Objective-C,Open3D/3rdparty/glfw/src/cocoa_monitor.m,94,61,371
C/C++ Header,Open3D/cpp/open3d/core/nns/FixedRadiusSearchImpl.h,60,155,371
C++,Open3D/cpp/tests/t/io/PointCloudIO.cpp,77,34,371
C,Open3D/3rdparty/glfw/src/x11_monitor.c,87,50,367
C++,Open3D/cpp/open3d/core/hashmap/HashMap.cpp,75,8,363
C++,Open3D/cpp/open3d/core/kernel/BinaryEWCPU.cpp,23,12,363
C++,Open3D/cpp/open3d/t/geometry/kernel/VoxelBlockGrid.cpp,23,6,360
C/C++ Header,Open3D/cpp/open3d/io/rpc/Messages.h,73,117,359
C++,Open3D/cpp/tests/t/geometry/VoxelBlockGrid.cpp,80,27,355
Python,Open3D/python/test/ml_ops/test_cconv.py,48,26,355
C++,Open3D/cpp/open3d/visualization/rendering/filament/FilamentView.cpp,60,51,354
C++,Open3D/cpp/open3d/pipelines/color_map/NonRigidOptimizer.cpp,30,19,353
C++,Open3D/cpp/open3d/io/file_format/FileASSIMP.cpp,61,51,351
C++,Open3D/cpp/open3d/core/MemoryManagerCached.cpp,101,64,349
C++,Open3D/cpp/open3d/t/io/file_format/FilePLY.cpp,56,19,349
C/C++ Header,Open3D/cpp/open3d/visualization/webrtc_server/PeerConnectionManager.h,44,65,349
Python,Open3D/examples/python/t_reconstruction_system/dense_slam_gui.py,90,33,348
CUDA,Open3D/cpp/open3d/core/kernel/UnaryEWCUDA.cu,29,17,346
C/C++ Header,Open3D/cpp/open3d/geometry/TriangleMesh.h,101,418,346
C++,Open3D/cpp/open3d/geometry/Image.cpp,41,10,345
C++,Open3D/cpp/pybind/t/geometry/raycasting_scene.cpp,97,7,345
C++,Open3D/cpp/open3d/visualization/visualizer/ViewControl.cpp,45,21,342
C++,Open3D/cpp/tests/core/FixedRadiusIndex.cpp,53,46,342
Objective-C,Open3D/3rdparty/glfw/src/cocoa_joystick.m,69,52,341
C++,Open3D/cpp/pybind/utility/eigen.cpp,45,61,341
C++,Open3D/cpp/tests/geometry/Octree.cpp,44,26,340
C,Open3D/3rdparty/glfw/src/monitor.c,103,66,339
C++,Open3D/cpp/open3d/visualization/gui/FileDialog.cpp,51,32,339
C++,Open3D/cpp/open3d/visualization/visualizer/GuiSettingsModel.cpp,46,14,339
CUDA,Open3D/cpp/open3d/core/nns/kernel/Select.cuh,101,132,338
C++,Open3D/cpp/open3d/core/kernel/UnaryEWCPU.cpp,31,12,334
C++,Open3D/cpp/tools/ManuallyAlignPointCloud/VisualizerForAlignment.cpp,13,9,332
C++,Open3D/cpp/open3d/visualization/visualizer/VisualizerCallback.cpp,13,7,331
C++,Open3D/cpp/tests/utility/FileSystem.cpp,127,87,331
CMake,Open3D/3rdparty/vtk/vtk_build.cmake,13,2,329
C++,Open3D/cpp/tests/geometry/LineSet.cpp,124,10,329
C++,Open3D/cpp/open3d/geometry/BoundingVolume.cpp,50,6,328
C++,Open3D/cpp/open3d/t/pipelines/kernel/RGBDOdometryCPU.cpp,55,14,328
C++,Open3D/cpp/tests/core/TensorList.cpp,69,29,327
C/C++ Header,Open3D/3rdparty/glfw/src/x11_platform.h,57,61,326
C++,Open3D/cpp/tests/geometry/TetraMesh.cpp,121,25,325
C++,Open3D/cpp/open3d/io/rpc/MessageUtils.cpp,42,19,323
C++,Open3D/cpp/open3d/visualization/shader/PhongShader.cpp,21,15,320
C++,Open3D/cpp/pybind/geometry/octree.cpp,19,15,316
Python,Open3D/python/tools/cli.py,49,10,316
C++,Open3D/cpp/open3d/geometry/TriangleMeshSubdivide.cpp,35,10,315
C++,Open3D/cpp/open3d/pipelines/registration/Registration.cpp,30,14,315
C++,Open3D/cpp/pybind/t/geometry/image.cpp,21,26,315
CUDA,Open3D/cpp/open3d/core/nns/kernel/MergeNetwork.cuh,83,155,314
Python,Open3D/util/check_style.py,71,62,314
CUDA,Open3D/cpp/open3d/core/kernel/BinaryEWCUDA.cu,24,15,312
C/C++ Header,Open3D/cpp/open3d/pipelines/integration/MarchingCubesConst.h,8,8,312
C++,Open3D/cpp/pybind/ml/contrib/contrib_subsample.cpp,25,22,312
C/C++ Header,Open3D/3rdparty/glfw/deps/nuklear_glfw_gl2.h,42,28,311
CMake,Open3D/cmake/Open3DISPC.cmake,74,144,309
C++,Open3D/cpp/open3d/geometry/VoxelGrid.cpp,36,14,309
C++,Open3D/cpp/pybind/docstring.cpp,36,43,308
C++,Open3D/cpp/open3d/t/pipelines/registration/TransformationEstimation.cpp,61,31,305
C/C++ Header,Open3D/cpp/open3d/core/hashmap/CUDA/StdGPUHashBackend.h,76,44,304
C/C++ Header,Open3D/cpp/open3d/t/geometry/kernel/VoxelBlockGrid.h,30,7,304
C++,Open3D/cpp/pybind/pipelines/registration/global_optimization.cpp,15,12,304
C++,Open3D/cpp/open3d/visualization/shader/TexturePhongShader.cpp,41,17,302
C++,Open3D/cpp/tests/t/geometry/LineSet.cpp,81,26,302
Bourne Shell,Open3D/docker/docker_test.sh,27,45,299
SVG,Open3D/cpp/apps/Open3DViewer/documentIcon.svg,1,1,298
C++,Open3D/cpp/open3d/pipelines/registration/FastGlobalRegistration.cpp,46,24,297
C,Open3D/3rdparty/glfw/src/linux_joystick.c,77,62,295
C++,Open3D/cpp/open3d/visualization/visualizer/ViewControlWithCustomAnimation.cpp,24,10,295
C++,Open3D/cpp/open3d/io/file_format/FileOBJ.cpp,54,40,293
C/C++ Header,Open3D/cpp/open3d/t/geometry/kernel/ImageImpl.h,44,13,293
C++,Open3D/cpp/open3d/ml/pytorch/continuous_conv/ContinuousConvTransposeOps.cpp,27,11,292
C++,Open3D/cpp/pybind/t/io/sensor.cpp,26,14,291
C++,Open3D/cpp/tests/core/NearestNeighborSearch.cpp,51,39,290
C++,Open3D/cpp/open3d/core/kernel/ReductionCPU.cpp,27,21,288
C++,Open3D/cpp/open3d/geometry/TetraMesh.cpp,42,15,288
Objective-C,Open3D/3rdparty/glfw/src/cocoa_init.m,50,38,286
C/C++ Header,Open3D/3rdparty/glfw/src/win32_platform.h,58,62,284
C/C++ Header,Open3D/cpp/open3d/ml/impl/continuous_conv/CoordinateTransformation.h,46,77,284
C++,Open3D/cpp/open3d/t/io/file_format/FilePTS.cpp,29,23,284
C/C++ Header,Open3D/cpp/open3d/t/geometry/TriangleMesh.h,97,577,282
C/C++ Header,Open3D/cpp/open3d/t/pipelines/kernel/RGBDOdometryJacobianImpl.h,47,14,282
C++,Open3D/cpp/open3d/t/pipelines/slac/SLACOptimizer.cpp,67,70,282
C++,Open3D/examples/cpp/OpenMP.cpp,33,13,282
C/C++ Header,Open3D/cpp/open3d/t/geometry/kernel/GeometryIndexer.h,47,37,281
Python,Open3D/examples/python/open3d_example.py,62,9,280
Python,Open3D/python/test/ml_ops/test_fixed_radius_search.py,55,26,278
CUDA,Open3D/cpp/open3d/ml/impl/sparse_conv/SparseConvCUDAKernels.cu,34,7,277
C++,Open3D/cpp/open3d/pipelines/color_map/ColorMapUtils.cpp,17,17,277
C/C++ Header,Open3D/cpp/open3d/visualization/rendering/filament/FilamentScene.h,37,29,277
Jupyter Notebook,Open3D/docs/jupyter/t_pipelines/t_icp_registration.ipynb,0,1011,277
C,Open3D/3rdparty/glfw/src/osmesa_context.c,57,37,276
C++,Open3D/cpp/open3d/visualization/visualizer/MessageProcessor.cpp,18,8,276
Python,Open3D/examples/python/visualization/all_widgets.py,79,116,276
CUDA,Open3D/cpp/open3d/core/nns/KnnSearchOps.cu,32,19,274
C++,Open3D/cpp/open3d/visualization/rendering/filament/FilamentCamera.cpp,55,15,274
C++,Open3D/cpp/open3d/visualization/visualizer/VisualizerWithCustomAnimation.cpp,16,10,273
C++,Open3D/cpp/open3d/t/io/sensor/realsense/RealSenseSensor.cpp,17,10,272
YAML,Open3D/.github/workflows/macos.yml,27,24,269
C++,Open3D/cpp/open3d/visualization/rendering/filament/FilamentRenderer.cpp,66,28,269
C++,Open3D/cpp/pybind/visualization/gui/events.cpp,9,6,268
C++,Open3D/cpp/pybind/visualization/visualizer.cpp,13,7,266
Python,Open3D/examples/python/visualization/non_english.py,74,127,265
C++,Open3D/cpp/pybind/geometry/image.cpp,11,7,263
